time,open,high,low,close,BuyLine,Buy,Sell,Buy Label,Sell Label
2025-03-13T08:25:00-03:00,19545,19545.5,19521.25,19541,19550.42244259362,NaN,NaN,NaN,NaN
2025-03-13T08:30:00-03:00,19540.25,19558.75,19537.5,19548.25,19550.42244259362,NaN,NaN,NaN,NaN
2025-03-13T08:35:00-03:00,19548.75,19556,19507.5,19516.5,19550.42244259362,NaN,NaN,NaN,NaN
2025-03-13T08:40:00-03:00,19516.75,19532,19509.75,19514,19541.140305324203,NaN,NaN,NaN,NaN
2025-03-13T08:45:00-03:00,19513.5,19518,19494.5,19515,19524.6076526621,NaN,NaN,NaN,NaN
2025-03-13T08:50:00-03:00,19515.25,19540.75,19512.5,19539.5,19507.55867366895,19507.55867366895,NaN,19514.986151860077,NaN
2025-03-13T08:55:00-03:00,19539.5,19551.75,19501.5,19531.25,19507.55867366895,NaN,NaN,NaN,NaN
2025-03-13T09:00:00-03:00,19530.25,19540.5,19495.75,19512.75,19507.55867366895,NaN,NaN,NaN,19550.322212034982
2025-03-13T09:05:00-03:00,19511.75,19518.25,19487.25,19491,19528.211415791382,NaN,19528.211415791382,NaN,NaN
2025-03-13T09:10:00-03:00,19490.75,19502.5,19476.75,19479.25,19511.36820789569,NaN,NaN,NaN,NaN
2025-03-13T09:15:00-03:00,19479.25,19514.75,19477.5,19492.25,19511.36820789569,NaN,NaN,NaN,NaN
2025-03-13T09:20:00-03:00,19493,19518.5,19480,19514,19473.820448026076,19473.820448026076,NaN,19481.304861747813,NaN
2025-03-13T09:25:00-03:00,19514,19516.25,19498,19512,19488.022724013037,NaN,NaN,NaN,NaN
2025-03-13T09:30:00-03:00,19512,19597,19509.5,19562.25,19513.07386200652,NaN,NaN,NaN,NaN
2025-03-13T09:35:00-03:00,19563,19570.75,19533.75,19547.75,19519.21193100326,NaN,NaN,NaN,NaN
2025-03-13T09:40:00-03:00,19547.25,19564.75,19537.25,19546.75,19524.85596550163,NaN,NaN,NaN,NaN
2025-03-13T09:45:00-03:00,19546,19546,19509.75,19519,19553.897017249186,NaN,19553.897017249186,NaN,19552.45687932038
2025-03-13T09:50:00-03:00,19519.25,19550.5,19516,19535.75,19553.897017249186,NaN,NaN,NaN,NaN
2025-03-13T09:55:00-03:00,19535.5,19556,19531.25,19555.75,19522.419495687704,19522.419495687704,NaN,19528.485780169904,NaN
2025-03-13T10:00:00-03:00,19555.5,19584.5,19554.5,19579.25,19548.39724784385,NaN,NaN,NaN,NaN
2025-03-13T10:05:00-03:00,19579.25,19588.75,19564.25,19577.25,19557.373623921925,NaN,NaN,NaN,NaN
2025-03-13T10:10:00-03:00,19577.5,19578,19546.75,19548.5,19582.875688039036,NaN,19582.875688039036,NaN,19574.858027478764
2025-03-13T10:15:00-03:00,19548.5,19574,19542,19567.5,19579.45034401952,NaN,NaN,NaN,NaN
2025-03-13T10:20:00-03:00,19567,19587.25,19553,19577,19579.45034401952,NaN,NaN,19547.79799313031,NaN
2025-03-13T10:25:00-03:00,19577,19590.5,19569,19573.75,19579.45034401952,NaN,NaN,NaN,NaN
2025-03-13T10:30:00-03:00,19573.75,19577,19511.25,19562.5,19576.57816800244,NaN,NaN,NaN,NaN
2025-03-13T10:35:00-03:00,19562.75,19569.5,19490.5,19539.75,19573.87658400122,NaN,NaN,NaN,19596.16275085871
2025-03-13T10:40:00-03:00,19540.5,19562.25,19470.25,19471.75,19570.38829200061,NaN,NaN,NaN,NaN
2025-03-13T10:45:00-03:00,19472.25,19507.5,19457.75,19485.25,19527.106646000306,NaN,NaN,NaN,NaN
2025-03-13T10:50:00-03:00,19485,19510,19389.5,19405,19514.165823000152,NaN,NaN,NaN,NaN
2025-03-13T10:55:00-03:00,19404.5,19417.75,19338.75,19367.25,19438.107911500076,NaN,NaN,NaN,NaN
2025-03-13T11:00:00-03:00,19367.25,19422.5,19324,19400.5,19437.653955750036,NaN,NaN,NaN,NaN
2025-03-13T11:05:00-03:00,19401,19449.75,19399,19432.5,19437.653955750036,NaN,NaN,NaN,NaN
2025-03-13T11:10:00-03:00,19432.75,19481,19393.5,19478,19381.64276106249,19381.64276106249,NaN,19406.504978508918,NaN
2025-03-13T11:15:00-03:00,19477.5,19532.25,19467.75,19522,19449.621380531244,NaN,NaN,NaN,NaN
2025-03-13T11:20:00-03:00,19522.25,19547,19498.25,19543.75,19480.37319026562,NaN,NaN,NaN,NaN
2025-03-13T11:25:00-03:00,19544.25,19570.5,19470.25,19475.75,19550.378619468756,NaN,19550.378619468756,NaN,19548.024377686386
2025-03-13T11:30:00-03:00,19476.25,19531.5,19470.25,19486.25,19550.378619468756,NaN,NaN,NaN,NaN
2025-03-13T11:35:00-03:00,19486.75,19502,19429,19445.25,19515.822101216796,NaN,NaN,NaN,NaN
2025-03-13T11:40:00-03:00,19444.25,19451.5,19409,19430.25,19470.2860506084,NaN,NaN,NaN,NaN
2025-03-13T11:45:00-03:00,19429.5,19455,19401.25,19419.75,19466.955525304198,NaN,NaN,NaN,NaN
